00000027-1534494,tel17,5,2
00054015-2407407,tel18,1650,185
00064325-0732147,tel13,360,12
00064325-0732147,tel18,13950,296
00064746-0852350,tel11,17,5
00094508-4201396,tel13,1541,53
00095982-0632010,tel18,3,2
00134659-0457371,tel11,120,17
00285473-2733337,tel11,35,11
00310412-7201061,tel13,24235,470
00314812-4105123,tel14,2134,225
00331349-4733165,tel13,134,24
00384799-5038221,tel11,4327,391
00432603-4117337,tel15,14132,199
00432603-4117337,tel17,1616,17
00443799-7845092,tel12,4269,350
00445930-1516166,tel11,19526,604
00445930-1516166,tel12,16999,442
00445930-1516166,tel13,551,2
00445930-1516166,tel15,3343,8
00445930-1516166,tel16,6317,87
00445930-1516166,tel18,4076,11
00462044-1924442,tel18,11,3
00464336-0424454,tel16,125,22
00492134-2824126,tel16,41,13
00521529-6201545,tel16,4679,350
00532168-7540249,tel15,58,9
00563021-0425153,tel13,2564,284
01005643-0426561,tel13,1518,101
01012488-2412472,tel16,5,2
01025100-3737438,tel18,4031,350
01040695-6522272,tel17,1738,59
01045368-1807292,tel17,3232,278
01050351-0623027,tel13,5,2
01081826-2848207,tel15,1074,21
01081826-2848207,tel16,1551,37
01122345-7939131,tel17,1974,185
01123052-1659570,tel11,11441,164
01123052-1659570,tel12,1254,25
01132401-2254077,tel17,4960,420
01143662-3434510,tel12,776,52
01152981-3325520,tel15,1882,166
01182974-7504544,tel16,1634,153
01192289-2755030,tel11,211,28
01215242-7652585,tel16,4649,358
01223784-4117425,tel12,2,1
01225414-3758297,tel17,4005,339
01234181-3833496,tel12,539,2
01234181-3833496,tel13,291,1
01234181-3833496,tel16,608,2
01234181-3833496,tel17,9056,773
01234181-3833496,tel18,605,2
01254803-3607123,tel11,4052,397
01264308-5443297,tel15,3745,310
01283455-7519063,tel12,3,2
01283952-1458042,tel13,77,11
01285465-2642469,tel16,4347,350
01304143-2812326,tel12,4194,195
01325727-3526523,tel16,21,8
01335800-1738235,tel17,186,8
01341729-3407529,tel17,17,6
01344126-2604557,tel16,336,58
01392170-3936088,tel15,7776,313
01454933-3615096,tel16,4654,350
01494268-3319201,tel16,99,26
01494365-8038280,tel11,1253,163
01494478-5259066,tel17,55,16
01501324-3741519,tel13,400,28
01510405-0607047,tel14,1030,107
01525159-4805413,tel12,11862,271
01540795-1536218,tel17,4267,125
01551318-5306309,tel11,4753,439
02000945-1024391,tel13,4867,115
02000945-1024391,tel14,38,6
02001278+1303112,tel12,904,24
02001278+1303112,tel15,46,4
02001278+1303112,tel18,9006,175
02003830-5558047,tel14,11304,67
02003830-5558047,tel15,259,5
02004725-1021209,tel13,4864,115
02004725-1021209,tel14,38,6
02014384-1017295,tel13,4656,115
02014384-1017295,tel16,8669,298
02022278-1412448,tel15,64,15
02024016-3647310,tel14,3880,402
02042754-0152560,tel18,5730,285
02054859-3010361,tel14,3647,69
02104456-0938260,tel14,3208,347
02104520-6622262,tel14,2,1
02113564-1153315,tel12,23,8
02130805-1901526,tel18,257,51
02140896-0145584,tel11,74,10
02141251-0357434,tel16,4061,349
02162144-2200490,tel11,1189,170
02163510-3058073,tel15,15717,233
02172845-5922435,tel11,3745,288
02202235-0808253,tel15,10,4
02205631-3726146,tel15,81,9
02221828-3651516,tel11,45,11
02224418-6022476,tel14,4,1
02232402-2318242,tel17,833,59
02243065-1716419,tel14,228,42
02280771-3628204,tel13,971,72
02363244-5928057,tel11,509,79
02411510-0432177,tel17,9241,433
02441512-1336149,tel16,594,75
02451070-4344319,tel14,10432,61
02460224-7024062,tel11,5258,492
02461477-0459182,tel15,11,4
02520450-6741155,tel16,248,45
02534603-7349227,tel12,3597,349
02551447-5140209,tel18,8,2
03001929-1744525,tel15,94,25
03020638-3950516,tel14,1053,53
03023073-6952022,tel11,98,9
03030069-5524526,tel16,11,3
03060171-2647433,tel14,2089,219
03061251-3838236,tel11,4,2
03082540-3812432,tel18,4001,216
03090022-4924513,tel14,119,20
03095115-1906476,tel16,208,27
03100215-1334118,tel12,5,3
03100305-2341308,tel13,1859,50
03113668-0416364,tel16,4116,199
03171800-1940175,tel13,15,6
03184254-5053070,tel18,25,9
03184481-3748574,tel15,235,32
03191722-3703437,tel13,6,3
03192922-3059438,tel11,1107,33
03205178-6351524,tel13,23373,519
03210557-0526345,tel12,3569,350
03252149-1614160,tel12,354,42
03321707-5409395,tel11,401,60
03353849-0829223,tel11,3917,408
03355693-1030568,tel14,317,69
03355969-4430453,tel11,17174,212
03355969-4430453,tel13,10786,171
03385590-5234107,tel13,5269,481
03420604-6123290,tel18,2305,139
03425738-6407563,tel11,15,5
03465547-2254144,tel18,3571,353
03484297-6836087,tel18,2,1
03503201-1524174,tel11,4008,441
03504432-0605400,tel18,10230,350
03524169+1701056,tel13,3697,172
03524573-1822112,tel15,302,63
03533687+0005210,tel14,99,25
03591439-7837288,tel14,7,3
04030347-1305271,tel18,87,23
04060688-0534444,tel15,6739,219
04085558-3128537,tel15,2979,266
04091567-5322254,tel13,11453,197
04091567-5322254,tel15,2298,62
04100550-5350131,tel13,9949,349
04100550-5350131,tel18,88,12
04102815-5336078,tel13,9958,349
04102815-5336078,tel15,2298,62
04102815-5336078,tel18,88,12
04124748-5352043,tel17,10453,177
04173459-4834391,tel15,4244,152
04180645-2406239,tel18,544,83
04184013-2507085,tel12,1399,150
04200794-1458469,tel15,24,7
04201249-7005594,tel18,442,65
04232688-0723468,tel12,6874,349
04253045-0955521,tel18,5,2
04253069-6355483,tel14,2174,164
04253992-0841080,tel13,1118,109
04263264-3048013,tel16,2879,117
04344532-0026463,tel11,1413,51
04380252-0556132,tel13,3368,348
04404160-1243321,tel17,5187,216
04405315-6054430,tel12,88,14
04461765-0623007,tel17,226,43
04513734-5818519,tel11,30,9
04520400-1058218,tel18,2530,214
04575862-0506161,tel14,8552,396
04592436-3055577,tel12,5849,235
04595719-3348509,tel18,3123,350
05000865-1216025,tel12,32,5
05015746-0656459,tel14,11745,393
05024419-3128378,tel17,4,1
05032009-1722245,tel18,22723,359
05074296-1506302,tel11,878,108
05091934-1348408,tel17,5270,520
05094385-4325174,tel16,8883,367
05115985-0328384,tel11,2802,349
05211586-3221268,tel14,12,2
05235031-7658375,tel14,5337,446
05250974-1335240,tel17,1724,152
05273058-5129158,tel17,2351,180
05310430-3011442,tel18,13268,349
05373975-6154442,tel17,6130,539
05403688-1829207,tel17,5164,530
05410486-4250318,tel13,31,11
05412714-3400503,tel12,9,2
05413338-4633551,tel16,3087,284
05421271-0527567,tel13,3189,373
05430458-2635400,tel15,7,2
05432819-1300263,tel15,72,23
05441592-2756146,tel11,1540,170
05450029-0425492,tel18,3106,349
05470907-0512106,tel15,566,69
05495906-5224515,tel13,5,2
05530466-0636131,tel16,2086,225
05535538-2246577,tel17,3813,314
05545613-5009073,tel14,545,61
05591958-0918340,tel14,4283,405
06022261-2019447,tel13,3666,215
06025422-0915030,tel13,1520,184
06045215-3433360,tel11,54,3
06052467-1618067,tel12,7,2
06081642-3216462,tel11,21878,519
06104503-3346226,tel18,427,59
06105288-4324178,tel18,30658,349
06115799-0117170,tel12,2905,347
06192078-0639215,tel16,10099,213
06210665-4905379,tel17,458,20
06212562-3134577,tel15,184,28
06220675-1630481,tel15,154,24
06223613-4956291,tel18,680,50
06343686-5403126,tel17,16,6
06361113-7522576,tel14,173,27
06383532-1404579,tel17,15181,471
06393742-2101333,tel12,16781,350
06413634-6233466,tel18,174,32
06422703-6707193,tel13,5713,542
06464109-2150161,tel17,5445,532
06502653-2135576,tel17,4009,364
06513498-1738179,tel11,405,52
06525904-2243453,tel14,2,1
06541877-4956552,tel16,83,20
06561894-0835461,tel11,7027,277
06561894-0835461,tel12,228,1
06561894-0835461,tel13,2620,20
06561894-0835461,tel14,508,11
06561894-0835461,tel15,1168,34
06561894-0835461,tel16,507,11
06594075-5622473,tel15,1457,176
06595620-6145001,tel15,7,3
07013658-1437185,tel16,3030,350
07050930-8029500,tel18,128,13
07051194-1007528,tel14,624,82
07110095-3824460,tel11,5254,496
07174262-1004500,tel16,3308,349
07200325-0846499,tel17,2643,257
07205204-6210118,tel14,2441,64
07231588-3205586,tel13,2,1
07280751-2348154,tel15,4150,267
07352405-2424091,tel15,618,59
07365666-3024160,tel14,1166,60
07401183-4257406,tel13,3035,131
07401922-1724449,tel13,17,7
07404105-0722383,tel11,3066,282
07450830-0701288,tel14,3959,390
07452936-4815296,tel12,1355,102
07452936-4815296,tel17,251,18
07453221-4814564,tel12,1355,102
07453221-4814564,tel17,251,18
07464191-5841033,tel16,2314,172
07515465-0000117,tel14,18,2
07545484-3809381,tel18,220,39
08025781-8330076,tel11,307,20
08054616-5912504,tel13,391,53
08124427-4504335,tel14,2,1
08184619-4806172,tel12,9112,195
08245245-0341017,tel16,46,12
08253314-2021020,tel11,3401,342
08270699-2526544,tel18,6,1
08271086-0920212,tel14,672,36
08312348-1029534,tel13,49,13
08332242-5424493,tel18,3731,390
08342587-0108391,tel18,7253,206
08344873-0848180,tel16,3445,94
08353172-3400369,tel13,3549,348
08372042-2819575,tel12,3753,350
08442236-1024111,tel14,884,45
08443891-4805218,tel17,9571,350
08485911-8035017,tel18,5171,342
08524996-6608468,tel13,108,11
08525414-3507327,tel18,15517,367
08533619-0329321,tel18,1036,76
08541227-0804594,tel15,2122,191
08550473-7135480,tel16,11749,350
08561768-2326574,tel18,547,49
09044018-1219116,tel17,1555,151
09054323-0841581,tel12,6253,305
09062057-2738420,tel16,428,22
09070278-2208494,tel18,6928,349
09125959-8311515,tel18,4147,349
09170532-7749233,tel11,26140,307
09175941-1823272,tel13,692,42
09195735-0625349,tel18,88,10
09224626-1547235,tel13,3319,355
09272913-3017530,tel13,3,1
09285571-0722111,tel11,6699,289
09312228-1717425,tel17,48,17
09342791-2643267,tel15,504,13
