Unique ID,Title,Preferred Major,Academic Level,Activity Type
2876,NFR for the Ice Giants,Engineering - Biological/Biosystems;Engineering - Chemical;Engineering - Chemistry;Engineering - Mechanical;Engineering - Mechanics;Engineering - Physics;Engineering - Science;Physical Science - Astronomy and Astrophysics;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Chemistry;Physical Science - Geological and Earth Science/Geosciences;Physical Science - Physics,10;11;12,Virtual
10929,Deep Learning to Tackle Climate Change,Biological Science - Biochemistry / Biophysics and Molecular Biology;Biological Science - Biology;Biological Science - Microbiological Sciences and Immunology;Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Data Processing;Engineering - Electrical / Electronics / Communications Engineering;Mathematics;Physical Science - Astronomy and Astrophysics;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences;Physical Science - Physics,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's;Graduate Doctoral,Virtual
11092,NASA GES DISC Video Outreach,Communication - Media Studies;Communications - Audio Visual;Computer and Information Sciences - Computer Software and Media Applications;Education - Educational/Instructional Media Design;English - Technical and Business Writing;Liberal Arts and Sciences / General Studies and Humanities;Multi-disciplinary - Biological and Physical Sciences;Multi-disciplinary - Marine Sciences;Multi-disciplinary - Natural Sciences;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's,Virtual
11133,Imaging Gravity Waves,Engineering - Aerospace / Aeronautical and Astronautical Engineering;Engineering - Mechanical;Engineering - Physics;Physical Science - Astronomy and Astrophysics;Science Technology - Physical Science Technologies/Technicians,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,In-person / Virtual
11185,AR/VR for Science and Engineering,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Computer and Information Sciences - Computer Software and Media Applications,9;10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior;Graduate Master's,Virtual
11204,Precipitation Research and Validation,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Data Processing;Engineering - Science;Mathematics - Statistics;Multi-disciplinary - Mathematics and Computer Science;Physical Science - Atmospheric Sciences and Meteorology,11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11274,CCRI - Landsat – Documenting Environmental Change Beyond Five Decades,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Geological/Geophysical Engineering;High School - Other Interest;Multi-disciplinary - Biological and Physical Sciences;Multi-disciplinary - Natural Sciences;Multi-disciplinary - Sustainability Studies;Natural Resources Conservation and Research;Other-Not Listed;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences;Science Technology - Science Technologies/Technicians;Social Science - Geography and Cartography,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11275,CCRI - Connecting the Local Urban Fabric to Global Climate Change,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Geological/Geophysical Engineering;High School - Other Interest;Multi-disciplinary - Natural Sciences;Multi-disciplinary - Sustainability Studies;Natural Resources Conservation and Research;Other-Not Listed;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences;Science Technology - Science Technologies/Technicians;Social Science - Geography and Cartography,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11281,CCRI - Land Surface Temperature via Satellite and Remote Sensing Technologies,Computer and Information Sciences - Computer Programming;Computer and Information Sciences - Computer Science;Engineering - Environmental/Environmental Health Engineering;High School - Other Interest;Mathematics;Mathematics - Applied;Multi-disciplinary - Natural Sciences;Multi-disciplinary - Sustainability Studies;Natural Resources Conservation and Research;Physical Science - Atmospheric Sciences and Meteorology;Physical Science - Geological and Earth Science/Geosciences,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
11282,"CCRI - Climate Change in the Hudson Estuary – Past, Present & Future",Biological Science - Biology;Biological Science - Ecology / Evolution / Systematics / Population Biology;High School - Other Interest;Multi-disciplinary - Sustainability Studies;Physical Science - Geological and Earth Science/Geosciences,10;11;12;Undergraduate Freshman;Undergraduate Sophomore;Undergraduate Junior;Undergraduate Senior,Virtual
